"changerate","lastmin","lastmax","valmax","valmin","changepercent","degree"
-21500,0,114900,26102761250,0,-19,-2
260,1830,2218,150529347457,4910680242,12,2
1000,5610,7310,20742170060,993232750,15,2
6150,22500,27150,229464336900,1199231000,24,3
2140,0,11020,75814326000,0,21,3
5220,12600,18210,808511430410,93301118060,33,3
628,4569,5490,185863947598,32803618874,12,2
480,0,5480,113719225490,0,9,1
-24600,46950,49850,39730494900,36621000,-52,-3
430,13490,16450,181893023100,21329852480,3,1
-5740,0,18700,86243420560,0,-32,-3
4060,24550,30070,91303417790,6406831150,15,2
400,6790,7770,65596269740,9909109420,4,1
1270,7380,8850,90350056860,2856980280,16,2
2220,11020,14200,73064500230,6052951830,17,2
1180,0,8250,72057671780,0,15,2
130,0,7690,110748732110,0,0,1
-3040,11700,13840,168685335350,17455251640,-24,-3
470,4970,5270,219973972660,16142570860,9,1
2190,12570,13630,38870684780,901792940,16,2
1500,0,58120,265958989230,0,2,1
103,1374,1569,48805443428,6342451004,7,1
10330,56150,62900,124919571050,19969068500,17,2
169,735,880,413270408243,55076874985,20,3
3040,0,22180,47257503200,0,15,2
-2060,15400,16880,115176783420,4857396070,-14,-2
3880,25800,30200,32916517710,6396659290,13,2
12120,34400,39370,28749316150,5625808060,32,3
0,6040,7110,85263820100,21558899410,-1,-1
-350,6020,6420,31555284840,3981226040,-6,-1
1400,0,8660,38799107660,0,17,2
5800,80000,86850,60408367100,1746645800,6,1
-29800,38800,46850,9410823500,30651150,-67,-3
-2080,16800,19190,62397377270,941032690,-12,-2
740,3113,3800,43658498627,7070337942,21,3
1120,6970,8020,83958101780,3098564120,14,2
-2520,12190,14340,131329751010,1158176340,-19,-2
-570,0,14580,55204340740,0,-5,-1
1080,0,13890,43314487310,0,8,1
-4700,10090,11800,119483330740,18564261950,-44,-3
-13150,42000,44000,25071069000,1743833450,-31,-3
7200,69600,76000,47319984400,11989832850,9,1
2330,22660,24560,27495011020,5762386780,10,1
612,2551,3242,70714507546,11701280092,21,3
1056,5033,5770,66382326780,6879366740,19,2
-3070,0,16500,225038015610,0,-23,-3
-2790,0,11260,314067713950,0,-27,-3
-2840,14950,16850,228894119240,13494915440,-18,-2
-15650,52900,56450,21572986000,5031000,-28,-3
1100,10020,11700,245017206060,8799777200,10,1
-138,3271,3600,37157699938,4497607068,-5,-1
87700,142150,144950,362375000,142150,61,3
278,3751,4216,43694498463,7275220417,7,1
1640,7730,9870,28482016740,1936274920,17,2
45,1224,1377,47160594570,2036181528,3,1
434,0,5310,43004741240,0,8,1
1630,0,23920,44959027710,0,7,1
-33750,0,118900,29758941250,0,-32,-3
4060,0,20780,164834242490,0,21,3
102,0,1623,41751267474,0,6,1
-850,23100,26150,44291256100,162524850,-3,-1
1020,5240,5400,5514839450,718168780,19,2
1030,5950,6580,13077852710,2656851980,16,2
-2850,21650,23850,67624894500,1997126800,-12,-2
-2290,10710,13190,102121536350,7617219560,-20,-2
10420,0,81590,132420535070,0,13,2
-1270,17990,19420,61955423540,1157196200,-7,-1
-8980,0,17700,23047825200,0,-54,-3
5100,108400,121970,121550102280,770040580,3,1
5300,22530,27300,53698377400,5383916270,20,3
8050,0,40900,41554812950,0,22,3
2460,6330,7140,44627305600,1768789310,36,3
163,3990,4314,15013587725,1331537767,3,1
865,2156,2894,365113646903,4290643133,34,3
-6500,24170,26410,438806079510,10687432440,-26,-3
-3080,20810,28790,148531649360,36501158140,-16,-2
450,5760,6550,129013027800,12549015080,6,1
880,7920,9820,30097169420,5212390830,10,2
-8650,61450,68650,30804934750,537126300,-14,-2
1000,35300,46050,96698928350,10264975100,1,1
124,0,1216,50054404177,0,10,2
160,17550,17800,158670230650,9474386410,1,1
1510,2232,3071,68853799826,1311166798,52,3
3700,0,25700,158650200,0,15,2
985,4040,5140,55166769088,3725367100,21,3
3960,66750,76410,11129570170,1026651700,4,1
-550,88150,98450,316607324040,105796484300,-1,-1
178,1262,1493,47744341435,4520838003,12,2
2600,0,26900,62762236550,0,10,2
741,2430,3124,1110448479899,97973922122,25,3
1050,16910,18790,25473213040,1253898990,6,1
-1080,10920,11390,34733991760,6811489790,-10,-1
-170,7440,7890,158988538280,9096845850,-3,-1
790,8000,9080,35684058560,2860369710,8,1
-1570,14130,16310,93280586910,8334362130,-11,-2
23210,97930,128610,244262608710,64030295880,20,3
900,12200,13610,95095515140,2328551780,7,1
11,0,1214,27537030175,0,0,1
747,2371,2837,15264389634,1616544779,29,3
1950,20250,22250,13907751800,1681211650,8,1
-362,3431,3634,2196967448,18090000,-11,-2
983,0,6480,118386486233,0,19,2
-380,12510,13080,358208860400,3053745700,-3,-1
747,2020,2830,28579199520,3591206422,30,3
51,1596,1683,4278786610,406563203,3,1
1060,2613,3341,60817027062,3608428840,35,3
1090,8280,10390,894315052850,27775227500,11,2
500,55850,66250,430515357150,9958611600,0,-1
-440,6280,6880,88430978220,3224738770,-7,-1
237,1419,1787,791125117037,55215988888,15,2
272,2699,3246,995026585419,129889943027,9,1
-110,13620,15560,130749135610,730653790,-1,-1
194,3965,4321,19784750247,4895364885,4,1
444,1405,1587,11770507067,3192877016,29,3
500,8520,8720,523394638950,24267901320,6,1
5390,32530,34310,37354906910,2279456830,16,2
165,1625,1927,118573893055,1234774866,9,1
623,3940,4419,89834216857,11569827102,15,2
22,1949,2089,10798940627,3028287699,1,1
234,1378,1820,1127440055930,107707382790,15,2
961,1040,1237,17771468226,387116928,80,3
-50,5660,6570,51717675630,3688469250,-2,-1
668,3910,4252,11297034277,3345716234,16,2
1180,5000,5380,11183152180,1728293490,23,3
